threshold,mean_false_alarms_per_hour,std_false_alarms_per_hour,mean_false_alarm_events,mean_positive_windows,n_records
0.0,60.0,0.0,1.0,1191.0,5
0.02,1632.0,266.30809225406574,27.2,758.0,5
0.04,2736.0,182.97540818372286,45.6,536.0,5
0.06,2820.0,94.86832980505137,47.0,401.6,5
0.08,2880.0,293.9387691339814,48.0,323.6,5
0.1,2964.0,387.9175170058707,49.4,271.8,5
0.12,2808.0,368.40195439221003,46.8,227.2,5
0.14,2592.0,403.3856715353187,43.2,191.4,5
0.140717,2592.0,403.3856715353187,43.2,189.8,5
0.16,2376.0,452.19464835400254,39.6,160.2,5
0.18,2208.0,511.58576993501293,36.8,135.6,5
0.2,1956.0,497.6745924798653,32.6,115.4,5
0.22,1800.0,474.3416490252569,30.0,98.8,5
0.24,1620.0,462.81745861624535,27.0,81.8,5
0.26,1404.0,380.8936859544931,23.4,68.0,5
0.28,1200.0,391.1521443121589,20.0,56.2,5
0.3,1056.0,332.9864862122786,17.6,48.0,5
0.32,900.0,220.45407685048602,15.0,39.2,5
0.34,780.0,140.71247279470288,13.0,32.6,5
0.36,648.0,176.97457444503152,10.8,26.4,5
0.38,588.0,155.3061492665374,9.8,23.2,5
0.4,504.0,144.49913494550754,8.4,19.6,5
0.42,420.0,152.97058540778355,7.0,15.0,5
0.44,360.0,152.97058540778355,6.0,12.8,5
0.46,300.0,146.9693845669907,5.0,10.2,5
0.48,264.0,177.9887636902959,4.4,8.2,5
0.5,216.0,138.13037319865606,3.6,7.2,5
0.52,168.0,122.96340919151518,2.8,5.4,5
0.54,168.0,122.96340919151518,2.8,5.2,5
0.56,132.0,136.82105101189657,2.2,4.0,5
0.58,108.0,88.99438184514796,1.8,3.4,5
0.6,96.0,68.41052550594829,1.6,2.8,5
0.62,96.0,68.41052550594829,1.6,2.8,5
0.64,60.0,60.0,1.0,1.4,5
0.66,60.0,60.0,1.0,1.4,5
0.68,36.0,53.665631459994955,0.6,0.8,5
0.7,36.0,53.665631459994955,0.6,0.8,5
0.72,24.0,32.863353450309965,0.4,0.4,5
0.74,24.0,32.863353450309965,0.4,0.4,5
0.76,12.0,26.832815729997478,0.2,0.2,5
0.78,12.0,26.832815729997478,0.2,0.2,5
0.8,12.0,26.832815729997478,0.2,0.2,5
0.82,0.0,0.0,0.0,0.0,5
0.84,0.0,0.0,0.0,0.0,5
0.86,0.0,0.0,0.0,0.0,5
0.88,0.0,0.0,0.0,0.0,5
0.9,0.0,0.0,0.0,0.0,5
0.92,0.0,0.0,0.0,0.0,5
0.94,0.0,0.0,0.0,0.0,5
0.96,0.0,0.0,0.0,0.0,5
0.98,0.0,0.0,0.0,0.0,5
1.0,0.0,0.0,0.0,0.0,5
