seed,added_latency_ms,lfp_power_suppression_pct,e_rate_suppression_pct,runaway_duration_reduction_pct,n_pulses,duty_cycle,burden_nS_s
42,0.0,29.973770880000952,30.463965456430422,25.76234507180799,5.0,0.125,12.5
42,100.0,30.6251305003362,29.186751173006428,26.539445209521933,5.0,0.125,12.5
42,250.0,24.588086508796728,26.43031967765035,23.460554790478064,5.0,0.125,12.5
42,500.0,15.666561662853354,18.85146906362558,15.758410387566396,5.0,0.125,12.5
43,0.0,32.0136797781141,32.160523712295024,28.22296238244514,5.0,0.125,12.5
43,100.0,31.230654979349538,30.398678089544703,28.761755485893417,5.0,0.125,12.5
43,250.0,24.077945002893337,24.942640031995285,21.101097178683382,5.0,0.125,12.5
43,500.0,14.03329723723551,17.222725072094637,13.224921630094045,5.0,0.125,12.5
44,0.0,32.37739312506805,30.81889490623856,26.386587386684862,5.0,0.125,12.5
44,100.0,30.345015555187818,29.968971033206778,26.220879227994928,5.0,0.125,12.5
44,250.0,24.980643058573122,26.25802224063831,20.76225752997368,5.0,0.125,12.5
44,500.0,16.21126739224914,18.730125079499683,14.406862267277512,5.0,0.125,12.5
45,0.0,29.65271514059958,28.717001629549163,26.985235434956106,5.0,0.125,12.5
45,100.0,26.824367633775022,26.851711026615966,26.546288906624103,5.0,0.125,12.5
45,250.0,21.62228596756695,23.74470396523629,19.612928970470872,5.0,0.125,12.5
45,500.0,13.710734095962827,17.984790874524712,14.195929768555468,5.0,0.125,12.5
46,0.0,28.90305113921504,29.660109231666585,26.275936670272397,5.0,0.125,12.5
46,100.0,27.59414116815976,27.43199533379289,27.062641360999116,5.0,0.125,12.5
46,250.0,22.643456471769795,24.058539689273026,20.700167174746777,5.0,0.125,12.5
46,500.0,13.570540305023371,18.063524046874175,13.796833513619825,5.0,0.125,12.5
47,0.0,18.903442227725026,19.679740078904626,12.485345838218054,3.0,0.07500000000000001,7.5
47,100.0,20.91207141739082,21.130917846368074,13.188745603751466,3.0,0.07500000000000001,7.5
47,250.0,19.444192717875854,19.86974936180088,12.788198515044938,3.0,0.07500000000000001,7.5
47,500.0,21.674613596441063,21.63785100951498,13.901914810472842,3.0,0.07500000000000001,7.5
48,0.0,20.230324411167164,39.50466818636634,28.60223485591061,5.0,0.125,12.5
48,100.0,21.474718833305744,39.14731306565554,30.082336796706528,5.0,0.125,12.5
48,250.0,12.291752029930546,30.999616313449348,21.564399137424033,5.0,0.125,12.5
48,500.0,5.956914296984195,22.477260929424244,13.65418545383258,5.0,0.125,12.5
