seed,k,sensitivity,false_alarms_per_hour,latency_ms,n_events,fp_events,tp_events
42,3.0,1.0,0.0,79.00000000000018,1,0,1
42,4.0,1.0,0.0,79.00000000000018,1,0,1
42,5.0,1.0,0.0,79.00000000000018,1,0,1
42,6.0,1.0,0.0,79.00000000000018,1,0,1
42,7.0,1.0,0.0,88.99999999999997,1,0,1
43,3.0,1.0,0.0,68.99999999999994,2,0,2
43,4.0,1.0,0.0,79.00000000000018,1,0,1
43,5.0,1.0,0.0,79.00000000000018,1,0,1
43,6.0,1.0,0.0,79.00000000000018,1,0,1
43,7.0,1.0,0.0,88.99999999999997,1,0,1
44,3.0,1.0,0.0,79.00000000000018,1,0,1
44,4.0,1.0,0.0,79.00000000000018,1,0,1
44,5.0,1.0,0.0,79.00000000000018,1,0,1
44,6.0,1.0,0.0,88.99999999999997,1,0,1
44,7.0,1.0,0.0,99.0000000000002,1,0,1
45,3.0,1.0,0.0,79.00000000000018,1,0,1
45,4.0,1.0,0.0,79.00000000000018,1,0,1
45,5.0,1.0,0.0,79.00000000000018,1,0,1
45,6.0,1.0,0.0,79.00000000000018,1,0,1
45,7.0,1.0,0.0,88.99999999999997,1,0,1
46,3.0,1.0,0.0,79.00000000000018,1,0,1
46,4.0,1.0,0.0,79.00000000000018,1,0,1
46,5.0,1.0,0.0,88.99999999999997,1,0,1
46,6.0,1.0,0.0,99.0000000000002,1,0,1
46,7.0,1.0,0.0,99.0000000000002,1,0,1
47,3.0,1.0,0.0,79.00000000000018,2,0,2
47,4.0,1.0,0.0,79.00000000000018,2,0,2
47,5.0,1.0,0.0,79.00000000000018,2,0,2
47,6.0,1.0,0.0,79.00000000000018,2,0,2
47,7.0,1.0,0.0,79.00000000000018,2,0,2
48,3.0,1.0,0.0,68.99999999999994,1,0,1
48,4.0,1.0,0.0,68.99999999999994,1,0,1
48,5.0,1.0,0.0,79.00000000000018,1,0,1
48,6.0,1.0,0.0,79.00000000000018,1,0,1
48,7.0,1.0,0.0,88.99999999999997,3,0,3
49,3.0,1.0,0.0,68.99999999999994,1,0,1
49,4.0,1.0,0.0,68.99999999999994,1,0,1
49,5.0,1.0,0.0,79.00000000000018,1,0,1
49,6.0,1.0,0.0,79.00000000000018,1,0,1
49,7.0,1.0,0.0,79.00000000000018,1,0,1
50,3.0,1.0,0.0,59.00000000000016,1,0,1
50,4.0,1.0,0.0,68.99999999999994,1,0,1
50,5.0,1.0,0.0,68.99999999999994,1,0,1
50,6.0,1.0,0.0,79.00000000000018,1,0,1
50,7.0,1.0,0.0,79.00000000000018,1,0,1
51,3.0,1.0,0.0,79.00000000000018,2,0,2
51,4.0,1.0,0.0,79.00000000000018,2,0,2
51,5.0,1.0,0.0,79.00000000000018,2,0,2
51,6.0,1.0,0.0,88.99999999999997,2,0,2
51,7.0,1.0,0.0,99.0000000000002,2,0,2
